Adicional Baradero;10777;03:10:00;03:40:00;Produccion;Tarde;v
Back Up Merlo;11573;03:35:00;03:45:00;Produccion;Mañana;i
BS AS 2 - RUTA 197 - Entrada;9489;02:15:00;03:45:00;Produccion;Mañana;i
Nuevo Rec. Sabado Bs. As. 2009;4981;03:15:00;03:45:00;Produccion;Mañana;i
Rec. Sabado Bs. As.;3141;03:15:00;03:45:00;Produccion;Mañana;i
BACK-UP  ZTE;759;03:45:00;03:50:00;Produccion;Mañana;i
BACK-UP LUJAN;754;03:00:00;03:50:00;Produccion;Mañana;i
LUJAN 1 - Entrada;5537;02:25:00;03:50:00;Produccion;Mañana;i
MERLO-MORENO - ENTRADA;11502;03:40:00;03:52:00;Produccion;Mañana;i
BS AS 3 - HENRY FORD - Entrada;9490;02:30:00;03:52:00;Produccion;Mañana;i
Ref. Lujan 2 ;5332;03:00:00;03:55:00;Produccion;Mañana;i
Rec. Sabado Lujan;3146;03:00:00;03:55:00;Produccion;Mañana;i
BACK-UP CAP FED;748;03:45:00;03:55:00;Produccion;Mañana;i
BS AS 1 - C. Y S. FE - Entrada;4242;03:45:00;03:55:00;Produccion;Mañana;i
BS AS 4 (Adm - Saav)-Salida;744;03:50:00;03:55:00;Produccion;Mañana;i
NUEVORec. Sabado Lujan;5096;03:00:00;03:55:00;Produccion;Mañana;i
BSAS-ENT;131;02:30:00;03:55:00;Produccion;Mañana;i
Rec. Sabado Mercedes;10622;03:30:00;04:00:00;Produccion;Mañana;i
Back Up 202 y Panamericana;11571;03:50:00;04:00:00;Produccion;Mañana;i
ALSINA - Salida;893;03:00:00;04:00:00;Produccion;Tarde;v
LUJAN 2 - Entrada;182;03:30:00;04:00:00;Produccion;Mañana;i
Mercedes - Entrada;10501;03:30:00;04:00:00;Produccion;Mañana;i
ALSINA - Entrada;6256;02:30:00;04:00:00;Produccion;Mañana;i
REF ESCOBAR;952;03:30:00;04:00:00;Produccion;Mañana;i
BACK-UP  S.PEDRO;751;03:50:00;04:00:00;Produccion;Mañana;i
CAMPANA 2 - Entrada;9494;03:30:00;04:00:00;Produccion;Mañana;i
CAMPANA 1 (Ref.) - Entrada;9491;03:33:00;04:03:00;Produccion;Mañana;i
Rec. Sabado Moreno;11023;03:05:00;04:05:00;Produccion;Mañana;i
MORENO - Entrada;1180;03:35:00;04:05:00;Produccion;Mañana;i
San Pedro 3 - Entrada;11540;04:00:00;04:10:00;Produccion;Mañana;i
SAN PEDRO -1 Entrada;4112;04:00:00;04:10:00;Produccion;Mañana;i
CAMPANA 2 (Ref.) - Entrada;9493;03:40:00;04:10:00;Produccion;Mañana;i
Ref. San Pedro;677;03:30:00;04:10:00;Produccion;Mañana;i
Ibicuy - Entrada;11110;03:40:00;04:10:00;Produccion;Mañana;i
ZARATE 1-(P. Ind.)-Entrada;9511;03:40:00;04:10:00;Produccion;Mañana;i
LIMA - Entrada;9498;03:10:00;04:10:00;Produccion;Mañana;i
S.PEDRO 1-ENT;198;02:30:00;04:10:00;Produccion;Mañana;i
ZARATE (Ref.Z6-R. Noya)Entrada;9510;03:40:00;04:10:00;Produccion;Mañana;i
ZARATE 6-(R. Noya)-Entrada;9516;03:40:00;04:10:00;Produccion;Mañana;i
Nuevo Rec. Sab. S. Pedro 2009;4983;02:30:00;04:10:00;Produccion;Mañana;i
Rec. Sabado Ibicuy;11149;03:40:00;04:10:00;Produccion;Mañana;i
ZARATE (Ref. Z4-Lav)-Entrada;9509;03:30:00;04:10:00;Produccion;Mañana;i
ZARATE 5-(Pellegrini)-Entrada;9515;03:40:00;04:10:00;Produccion;Mañana;i
SAN PEDRO 2 - Entrada;4118;03:40:00;04:10:00;Produccion;Mañana;i
Rec. Sabado San Pedro;3142;02:30:00;04:10:00;Produccion;Mañana;i
ZARATE 4-(Lavalle)-Entrada;9514;03:40:00;04:10:00;Produccion;Mañana;i
C. CASTELAR- SAN MIGUEL - ENTRADA;11508;03:50:00;04:10:00;Produccion;Mañana;i
Ref. Lujan 2 - Entrada;8783;03:45:00;04:15:00;Produccion;Mañana;i
Acompañamiento Lujan Entrada;10045;02:30:00;04:15:00;Produccion;Mañana;i
ZARATE 3-(S. Lorenzo)-Entrada;9513;03:50:00;04:20:00;Produccion;Mañana;i
San Andres de Giles - Entrada;10178;03:50:00;04:20:00;Produccion;Mañana;i
LUJAN 1 - Entrada;178;03:50:00;04:20:00;Produccion;Mañana;i
ZARATE 2-(Los Ceibos)-Entrada;9512;03:50:00;04:20:00;Produccion;Mañana;i
PILAR - Entrada;4278;03:50:00;04:20:00;Produccion;Mañana;i
Rec.Sabado San Andres de Giles;10624;03:50:00;04:20:00;Produccion;Mañana;i
Ref. Pilar - Entrada;8843;03:50:00;04:20:00;Produccion;Mañana;i
Nuevo Rec. Sab. Baradero 2009;4980;03:55:00;04:25:00;Produccion;Mañana;i
BAR 2-ENT;124;03:55:00;04:25:00;Produccion;Mañana;i
Rec. Sabados Baradero;3140;03:55:00;04:25:00;Produccion;Mañana;i
Refuerzo Lujan 1;5361;03:00:00;04:25:00;Produccion;Mañana;i
BARADERO - 1 Entrada;3715;04:15:00;04:25:00;Produccion;Mañana;i
BARREF-ENT;129;03:55:00;04:25:00;Produccion;Mañana;i
BARADERO - 3 Entrada;4105;04:10:00;04:25:00;Produccion;Mañana;i
BARADERO - 2 Entrada;4140;03:55:00;04:25:00;Produccion;Mañana;i
Alberti - Ref. Del Viso - Ent.;8775;04:15:00;04:25:00;Produccion;Mañana;i
BAR 1 ENTRADA;3713;03:55:00;04:25:00;Produccion;Mañana;i
DEL VISO - Entrada;5625;03:55:00;04:25:00;Produccion;Mañana;i
BARADERO ENTRADA;120;03:55:00;04:25:00;Produccion;Mañana;i
Ref. Del Viso;5342;04:00:00;04:25:00;Produccion;Mañana;i
Rec. Sabados Ruta 8 Entrada;11582;04:00:00;04:30:00;Produccion;Mañana;i
REF. JOSE C. PAZ - ENTRADA;11547;04:00:00;04:30:00;Produccion;Mañana;i
BS AS 4 (Adm - Saav)-Entrada;1104;03:50:00;04:30:00;Produccion;Mañana;i
ESCOBAR 1 -Entrada;5164;04:00:00;04:30:00;Produccion;Mañana;i
